shopper_id,timestamp,action,product_id,count
0B88F5BB43EF9E76D481A660946AC8B0,"17/12/2023, 12:51:01.000",PRODUCT_VIEW,08CD8A2314C9BE5A3EE3D4D89ED9C5CF,1
0B88F5BB43EF9E76D481A660946AC8B0,"17/12/2023, 12:51:01.000",PRODUCT_VIEW,9E12BB4E3622B8AF2FF9F1741E4A5832,1
0B88F5BB43EF9E76D481A660946AC8B0,"01/12/2023, 15:34:06.000",PRODUCT_VIEW,B8C37C236397CA23841B665DC72C2A4D,1
0B88F5BB43EF9E76D481A660946AC8B0,"01/12/2023, 17:16:28.000",PRODUCT_VIEW,78E3444D1208BFFA,1
0B88F5BB43EF9E76D481A660946AC8B0,"01/12/2023, 17:51:08.000",PRODUCT_VIEW,A6FE393C0032FAAEC7DCAC487F0E35CF,1
0B88F5BB43EF9E76D481A660946AC8B0,"01/12/2023, 17:51:38.000",PRODUCT_VIEW,9B4CED09A48CF830BC90E4B29FC3B5C8,1
0B88F5BB43EF9E76D481A660946AC8B0,"01/12/2023, 17:55:26.000",PRODUCT_VIEW,3A4C8946EA4E4F94,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 15:48:21.000",PRODUCT_VIEW,C04C5200E0667C2320188F9AD2246B70,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 15:49:56.000",PRODUCT_VIEW,3696961276AFB391,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 16:29:27.000",PRODUCT_VIEW,324DC4222A1D7CBC4395C943FED6D831,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 16:30:38.000",PRODUCT_VIEW,CC813E5193F48F9F9AEBF81B83BB5E21,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 16:31:16.000",PRODUCT_VIEW,30595FF81FF77D46F9C4FF8F002A666E,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 16:32:34.000",PRODUCT_VIEW,258424F24F774E75,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 16:48:35.000",PRODUCT_VIEW,CE9620197D09CA26E8E4F3FBFC11FD82,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 16:48:52.000",PRODUCT_VIEW,F963C70F8D720EC3360C6C41E9E44C63,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:14:41.000",PRODUCT_VIEW,5CE765E2667BD46,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:15:27.000",PRODUCT_VIEW,6F9C36E2C343B21D,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:20:46.000",PRODUCT_VIEW,312240449434BF57,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:21:49.000",PRODUCT_VIEW,40D6BCBCAB91BAD7,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:24:31.000",PRODUCT_VIEW,6C092BA28C35B64D,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:26:23.000",PRODUCT_VIEW,7EA2BD5C14221BE3376F9FA4352321AF,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:27:23.000",PRODUCT_VIEW,3EDD63F88C4BB429,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:27:55.000",PRODUCT_VIEW,2AEA1AB44D824AD2,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:28:03.000",PRODUCT_VIEW,13220FD5219E4DA2,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 18:28:56.000",PRODUCT_VIEW,7105B48A21266E78CDC3A160D0C2673A,1
0B88F5BB43EF9E76D481A660946AC8B0,"03/12/2023, 19:27:37.000",PRODUCT_VIEW,A4AEA075CE6A9BFE709115C9B3563F12,1
0B88F5BB43EF9E76D481A660946AC8B0,"04/12/2023, 04:19:07.000",PRODUCT_VIEW,2BABE2E66AA6B692770F613FFC4C26BD,1
0B88F5BB43EF9E76D481A660946AC8B0,"04/12/2023, 07:12:58.000",PRODUCT_VIEW,A483EC9A66FA32BBAF25FE57B6945B89,1
0B88F5BB43EF9E76D481A660946AC8B0,"04/12/2023, 11:55:11.000",PRODUCT_VIEW,67231D86FFF94F3E7FC352B14790C8DB,1
0B88F5BB43EF9E76D481A660946AC8B0,"04/12/2023, 13:22:15.000",PRODUCT_VIEW,A4AEA075CE6A9BFE709115C9B3563F12,1
